d_acc/fake_step,d_acc/real_step,d_acc_step,d_logit/fake_mean_step,d_logit/real_mean_step,d_loss/fake_step,d_loss/gp_step,d_loss/real_step,d_loss/total_step,epoch,g_loss/adv_step,g_loss/adv_weighted_step,g_loss/aux_l0_delta_step,g_loss/aux_l0_hf_step,g_loss/aux_l0_ll_step,g_loss/aux_l0_total_step,g_loss/aux_l1_delta_step,g_loss/aux_l1_hf_step,g_loss/aux_l1_ll_step,g_loss/aux_l1_total_step,g_loss/aux_l2_delta_step,g_loss/aux_l2_hf_step,g_loss/aux_l2_ll_step,g_loss/aux_l2_total_step,g_loss/aux_l3_delta_step,g_loss/aux_l3_hf_step,g_loss/aux_l3_ll_step,g_loss/aux_l3_total_step,g_loss/aux_l4_delta_step,g_loss/aux_l4_hf_step,g_loss/aux_l4_ll_step,g_loss/aux_l4_total_step,g_loss/aux_l5_delta_step,g_loss/aux_l5_hf_step,g_loss/aux_l5_ll_step,g_loss/aux_l5_total_step,g_loss/aux_step,g_loss/aux_weighted_step,g_loss/hf_rec_step,g_loss/ll_rec_step,g_loss/rec_step,g_loss/rec_weighted_step,g_loss/total_step,lr-Adam,lr-Adam-1,step
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016,0.0001,0
0.0,1.0,0.5,0.14024826884269714,0.16663789749145508,0.7657912969589233,3.546137605781041e-08,0.613383948802948,1.3791751861572266,0,3.667140007019043,1.8335700035095215,0.0009743678383529186,0.0009743678383529186,0.8583570718765259,0.8603057861328125,0.001252681715413928,0.0012526818318292499,0.8594498634338379,0.8619552850723267,0.0018021909054368734,0.0018021909054368734,0.8615731596946716,0.865177571773529,0.0027376003563404083,0.0027376003563404083,0.8646151423454285,0.8700903058052063,0.004212459083646536,0.004212459083646536,0.8680959343910217,0.8765208125114441,0.00635878648608923,0.00635878648608923,0.8706746101379395,0.8833922147750854,0.873479425907135,0.21836985647678375,0.006360984407365322,0.8706785440444946,0.8770395517349243,0.8770395517349243,2.9289793968200684,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016,0.0001,1
1.0,0.0,0.5,-3.7292556762695312,-3.6087546348571777,0.02467936836183071,0.0,3.637234687805176,3.661914110183716,0,0.00014127715257927775,7.063857628963888e-05,0.021908827126026154,0.021908827126026154,0.8091028928756714,0.8529205322265625,0.05251020938158035,0.05251021310687065,0.7949528694152832,0.8999732732772827,0.0275336354970932,0.0275336354970932,0.8268009424209595,0.8818682432174683,0.024721771478652954,0.024721771478652954,0.8298020362854004,0.8792455196380615,0.01851939782500267,0.01851939782500267,0.853682279586792,0.8907210826873779,0.023830723017454147,0.023830723017454147,0.854947566986084,0.9026089906692505,0.8897483348846436,0.2224370837211609,0.025039222091436386,0.8549454212188721,0.8799846172332764,0.8799846172332764,1.102492332458496,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016,0.0001,2
0.0,1.0,0.5,8.882473945617676,9.030832290649414,8.882620811462402,0.0,0.00012691825395449996,8.882747650146484,0,0.06526922434568405,0.032634612172842026,0.06820809841156006,0.06820809841156006,0.7640761137008667,0.9004923105239868,0.02779819816350937,0.02779819816350937,0.7466729879379272,0.8022693395614624,0.04334184527397156,0.04334184154868126,0.8229489326477051,0.9096325635910034,0.028698377311229706,0.028698377311229706,0.8268433213233948,0.8842400908470154,0.010682528838515282,0.010682528838515282,0.8504178524017334,0.8717828989028931,0.010646595619618893,0.010646596550941467,0.8413330316543579,0.8626261949539185,0.8716933727264404,0.2179233431816101,0.010481546632945538,0.8414571285247803,0.8519386649131775,0.8519386649131775,1.10249662399292,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016,0.0001,3
0.0,1.0,0.5,2.600289821624756,2.653681755065918,2.677488327026367,0.0,0.0736466571688652,2.7511348724365234,0,2.708775043487549,1.3543875217437744,0.045427948236465454,0.045427948236465454,0.6847496032714844,0.7756054401397705,0.0925506204366684,0.0925506204366684,0.7119446992874146,0.8970459699630737,0.03571603447198868,0.03571603447198868,0.7801720499992371,0.851604163646698,0.030779434368014336,0.030779434368014336,0.7448409795761108,0.8063998222351074,0.012809740379452705,0.012809740379452705,0.824225902557373,0.8498454093933105,0.019522523507475853,0.019522523507475853,0.8109732270240784,0.850018322467804,0.8428308367729187,0.21070770919322968,0.021877538412809372,0.8112412691116333,0.8331187963485718,0.8331187963485718,2.3982138633728027,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016,0.0001,4
1.0,0.0,0.5,-2.987224817276001,-2.9634227752685547,0.05650344491004944,0.0,3.021423816680908,3.077927350997925,0,1.2473498582839966,0.6236749291419983,0.061487313359975815,0.061487313359975815,0.5594397783279419,0.6824144124984741,0.06296132504940033,0.06296132504940033,0.5771341323852539,0.703056812286377,0.01931218057870865,0.01931218057870865,0.7028205394744873,0.7414449453353882,0.02921087108552456,0.02921087108552456,0.6727622747421265,0.7311840057373047,0.012043884955346584,0.012043884955346584,0.7939733266830444,0.818061113357544,0.013143884018063545,0.013143884018063545,0.7822338342666626,0.8085216283798218,0.7704302668571472,0.1926075667142868,0.018372084945440292,0.782585859298706,0.8009579181671143,0.8009579181671143,1.617240309715271,,,4
